player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
200188,Matteo,Martineau,R,19990116,FRA,183,Q95246542
200218,Mate,Valkusz,R,19980813,HUN,183,Q22338780
200219,John,Mcnally,U,19981018,USA,,Q26799447
200221,Alejandro,Davidovich Fokina,R,19990605,ESP,183,Q33084529
200228,Felix,Corwin,R,19960526,USA,188,
200265,Ulises,Blanch,R,19980325,USA,188,Q24450987
200266,Javier,Barranco Cosano,L,19981117,ESP,180,Q106153467
200278,Simon,Carr,R,19991107,IRL,183,Q47543620
200282,Alex,De Minaur,R,19990217,AUS,183,Q22958938
200303,Pavel,Kotov,R,19981118,RUS,191,Q85322897
200325,Emil,Ruusuvuori,R,19990402,FIN,188,Q28493468
200384,Hugo,Gaston,L,20000926,FRA,173,Q47483451
200436,Zsombor,Piros,R,19991013,HUN,180,Q28539570
200465,Sem,Verbeek,L,19940412,NED,193,Q55585003
200484,Rudolf,Molleker,R,20001026,GER,188,Q33191522
200514,Jurij,Rodionov,L,19990516,AUT,191,Q30148749
200589,Sam,Riffice,R,19990301,USA,188,Q108285013
200611,Elliot,Benchetrit,R,19981002,MAR,193,Q53633809
200615,Alexei,Popyrin,R,19990805,AUS,196,Q30143529
200624,Sebastian,Korda,R,20000705,USA,196,Q47500285
200670,J J,Wolf,R,19981221,USA,183,Q26799554
200711,Nicolas,Mejia,R,20000211,COL,183,Q56728052
201749,Graydon,Garner,R,19450703,RSA,,
202127,Clement,Tabur,R,20000124,FRA,173,Q47496123
202195,Maxime,Cressy,R,19970508,USA,201,Q60582900
202279,Leopold,Zima,R,20000513,GER,185,
202318,Roy,Smith,L,19980913,USA,191,
202327,Marko,Miladinovic,R,20001207,SRB,180,Q47014074
202358,Chun Hsin,Tseng,R,20010808,TPE,175,Q47516746
202385,Jenson,Brooksby,R,20001026,USA,188,Q56073233
202513,John,Holladay,R,19540224,USA,,Q87498084
202551,Graeme,Notman,U,19490926,GBR,,
202616,Octavio,Piva,U,,BRA,,
202674,Keith,Brebnor,U,19470807,RSA,,
205734,Thiago,Seyboth Wild,R,20000310,BRA,185,Q50198692
206137,Andrej,Glvac,R,19970131,SVK,196,
206173,Jannik,Sinner,R,20010816,ITA,191,Q54812588
206499,Aleksandar,Kovacevic,R,19980829,USA,183,Q108523625
206703,Paul,Jubb,R,19991031,GBR,180,Q64746573
206758,Antoine,Cornut Chauvinc,R,20000707,FRA,188,
206909,Brandon,Nakashima,R,20010803,USA,188,Q60676610
206921,Scott,Jones,R,19980114,AUS,170,
207181,Govind,Nanda,R,20010217,USA,178,
207182,Emilio,Nava,R,20011202,USA,185,Q60990844
207202,Karl,Poling,L,19990804,USA,185,
207256,Admir,Kalender,R,20010112,CRO,,Q107613757
207323,Simon,Yitbarek,R,20001031,SWE,180,
207408,Niklas,Guttau,L,20000103,GER,178,
207491,Sandro,Kopp,R,20000526,AUT,185,
207605,Jakub,Paul,R,19990322,SUI,180,Q55760449
207733,Jack,Draper,L,20011222,GBR,193,Q65030599
207764,Ryan,Nijboer,R,19990728,NED,180,
207830,Tomas,Machac,R,20001013,CZE,183,Q61594997
207834,Juan Alejandro,Hernandez Serrano,R,19990623,MEX,175,
207969,Stefan,Dostanic,R,20011104,USA,188,
207989,Carlos,Alcaraz,R,20030505,ESP,183,Q85518537
207990,Moritz,Thiem,R,19991208,AUT,,Q65994818
207992,Cannon,Kingsley,R,20010506,USA,188,
208004,Harold,Mayot,R,20020204,FRA,180,Q81219097
208055,Ajeet,Rai,R,19990118,NZL,188,Q56641628
208260,Zachary,Svajda,R,20021129,USA,175,Q66391780
208328,Max,Wiskandt,R,20020201,GER,191,
208688,Roni,Rikkonen,U,20001204,FIN,,
208816,Jeremy,Schifris,L,20011006,GER,,
208925,John,Hallquist Lithen,L,20011203,SWE,,
208989,Larry,Rolle,U,,,,
211275,Eulicio,Silva,U,,BRA,,
211348,Abbie,Maynard,U,,USA,,
211349,Stephen,Taylor Sr,U,,IRL,,
211350,Mustafa,Gengsoy,U,,TUR,,
